"Edad","Area_Academica","Hrs de Sueño","Ingreso_Mensual","Tiempo_Traslado_Min","Transporte","Trabajo","Número de comidas","Hrs de estudio","Hrs en Redes","Materias inscritas","Promedio","Nivel de estres","Metodo de estudio","Nivel de interes","Area de interes","Categoria_Predominante","Transp_a_pie","Transp_por_app","Transp_publico","Transp_propio"
"21","Exactas e Ingenierías","7","42400","7.5","A pie","0","3","2","4","5","9.2","3","1","4","Probabilidad y estadística","Exactas y Métodos","1","0","0","0"
"22","Salud y Naturales","6","42400","75","Transporte público (Autobús, Metro, etc.)","0","2","1","5","4","9","2","0","3","Biología","Salud y Biológicas","0","0","1","0"
"21","Educación","5","16960","30","Transporte público (Autobús, Metro, etc.)","0","2","3","4","9","10","4","1","5","Psicología","Sociales y Humanidades","0","0","1","0"
"22","Exactas e Ingenierías","8","25440","52.5","Transporte público (Autobús, Metro, etc.)","0","2","0","3","4","7","3","0","3","Matemáticas","Exactas y Métodos","0","0","1","0"
"22","Exactas e Ingenierías","6","8480","52.5","Transporte público (Autobús, Metro, etc.)","1","2","0","5","5","8.8","3","0","3","Diseño gráfico","Otras/Multidisciplinar","0","0","1","0"
"21","Sociales y Humanidades","6","8480","105","Transporte público (Autobús, Metro, etc.)","0","4","2","2","6","8.5","3","1","3","Historia","Otras/Multidisciplinar","0","0","1","0"
"21","Artes y Diseño","7","8480","7.5","A pie","0","2","1","3","9","8","4","0","3","Gastronomía","Otras/Multidisciplinar","1","0","0","0"
"21","Exactas e Ingenierías","7","8480","30","Transporte público (Autobús, Metro, etc.)","0","3","3","2","6","8.7","3","0","4","Matemáticas","Otras/Multidisciplinar","0","0","1","0"
"22","Artes y Diseño","6","25440","7.5","Transporte público (Autobús, Metro, etc.)","1","4","4","4","7","9.2","4","1","4","Artes","Sociales y Humanidades","0","0","1","0"
"21","Artes y Diseño","8","25440","7.5","Vehículo propio (Automóvil/Motocicleta)","1","3","0","2","5","9.6","2","0","5","Artes","Diseño y Artes","0","0","0","1"
"19","Económico-Administrativas","7","8480","7.5","A pie","1","2","2","3","6","9.3","4","0","4","Administración","Económico-Administrativa","1","0","0","0"
"21","Artes y Diseño","7","25440","30","Vehículo propio (Automóvil/Motocicleta)","0","3","2","5","9","8.5","2","0","5","Diseño gráfico","Otras/Multidisciplinar","0","0","0","1"
"21","Salud y Naturales","7","42400","7.5","A pie","0","4","2","1","6","9.3","3","0","5","Biología","Otras/Multidisciplinar","1","0","0","0"
"22","Exactas e Ingenierías","8","42400","30","Vehículo propio (Automóvil/Motocicleta)","0","3","1","2","6","8","4","1","2","Economía","Otras/Multidisciplinar","0","0","0","1"
"22","Sociales y Humanidades","7","8480","75","Transporte público (Autobús, Metro, etc.)","0","2","4","1","6","8","4","1","5","Derecho","Otras/Multidisciplinar","0","0","1","0"
"21","Artes y Diseño","7","8480","7.5","Vehículo propio (Automóvil/Motocicleta)","1","3","1","2","6","8.6","4","0","5","Gastronomía","Otras/Multidisciplinar","0","0","0","1"
"22","Exactas e Ingenierías","8","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","2","2","2","5","9","4","1","5","Matemáticas","Otras/Multidisciplinar","0","0","1","0"
"21","Exactas e Ingenierías","8","42400","30","Vehículo propio (Automóvil/Motocicleta)","0","2","2","3","6","9.6","4","1","5","Matemáticas","Exactas y Métodos","0","0","0","1"
"22","Salud y Naturales","7","16960","30","Transporte público (Autobús, Metro, etc.)","0","5","2","2","6","8.6","4","1","3","Salud","Salud y Biológicas","0","0","1","0"
"23","Sociales y Humanidades","7","16960","105","Transporte público (Autobús, Metro, etc.)","0","3","1","5","4","7.9","3","0","4","Derecho","Otras/Multidisciplinar","0","0","1","0"
"22","Artes y Diseño","7","16960","30","Vehículo propio (Automóvil/Motocicleta)","1","3","2","3","4","8.4","4","1","4","Matemáticas","Diseño y Artes","0","0","0","1"
"20","Salud y Naturales","6","16960","75","Transporte público (Autobús, Metro, etc.)","0","2","4","3","6","8","3","0","5","Salud","Salud y Biológicas","0","0","1","0"
"21","Artes y Diseño","6","25440","7.5","Vehículo propio (Automóvil/Motocicleta)","0","3","0","4","7","9.6","4","0","4","Diseño gráfico","Diseño y Artes","0","0","0","1"
"21","Salud y Naturales","6","42400","30","Vehículo propio (Automóvil/Motocicleta)","1","2","2","2","6","9.4","3","1","5","Salud","Salud y Biológicas","0","0","0","1"
"22","Sociales y Humanidades","7","16960","52.5","Transporte por aplicación (Uber, Didi, Taxi)","1","3","1","3","6","8.2","5","1","5","Finanzas","Económico-Administrativa","0","1","0","0"
"20","Salud y Naturales","8","42400","30","Vehículo propio (Automóvil/Motocicleta)","0","4","3","1","9","9.71","5","1","5","Salud","Salud y Biológicas","0","0","0","1"
